WordID	MnID	Wd	SoundFile	PoS	Stem	Accent	Category	Description	Variation	RelatedWords	ExampleSentence																	
52		あいだり	ikmvoc_52.wav	名詞				食べかすが散らかっている様子、またその性質、散らかったもの、穀物の種で使えないくず種	あいだい	くず、あいだりくず、あいだいくず	やらびんみんみぬ　むぬー　ふぁいぬ　あとぅー　やぐみ　あいだりどぅ　あたい（子供たちが食事したあとは（食べかすで）とても散らかっていた）。	むぬーふぁいぬ　あとぅぬ　あいだりゅーぎゃー　とぅい（食べた後の食べかすを取りなさい）。	あいだりぬ　すきゃーりゅーい（食べかすなど（米粒など食べた時にこぼれたもの）が散らかっている）。															
53		あいだりくず	ikmvoc_53.wav	名詞				食べかすが散らかっている様子、またその性質、散らかったもの、穀物の種で使えないくず種	ありだいくず	くず、あいだり、あいだい																		
54		あいちゃ	ikmvoc_54.wav	感動詞			〘応答詞〙	〘応答詞〙そうだって（さ）、だそうだ（よ）			あいちゃ。かいが　あすがにゃーん　あっそぅ（だってさ。あいつのやる通りにやってよ）。																	
55		あいつ	ikmvoc_55.wav	動詞	k語幹	C		歩く；（学校や会社に）通う；走る	あいふ																			
56		あいつー	ikmvoc_56.wav	動詞	cc/tt語幹			言い込める、詰（なじ）る、非難する	あいっつ	あいっち	あいや　ひとぅーぎゃー　あいっちゃん（そんなに他人を罵らない［＞罵ってはいけない］）。																	
58		あいっぞぅ	ikmvoc_58.wav	名詞			〘魚〙	〘魚〙アイゴ		あい	あいっぞぅー　ばかばいむぬ（アイゴは（食べると）吹き出物が出る）。	あいっぞぅぬ　つーずんな　ささいな（アイゴの刺には刺されるな）。																
59		あいっち	ikmvoc_59.wav	動詞	母音語幹			言い込める、詰（なじ）る、非難する	あいってぃ	あいっつ	かりゅーぎゃー　ちゅーく　あいっちたい（あいつを強く非難した）。																	
60		あいっつ	ikmvoc_60.wav	動詞	cc/tt語幹			言い込める、詰（なじ）る、非難する	あいつー	あいっち	ひとぅーぎゃー　まーぬ　あいっちゃん（他人をあまり非難するな）。	かいん　あいっちゃいー　ばー　かさますかいば　ならっだん（あいつになじられて私は悔しくて仕方がなかった）。	かさますかいば　たやん　あいっちー　すてぃる（悔しいから強く言い返してやれ）。															
62	1	あいつびゃー	ikmvoc_62.wav	名詞				歩く速度が速いこと			あいつびゃー　ひとぅぬ　あとぅー　うーいん（歩くのが早い人の後はついていけない）。																	
62	2	あいつびゃー	ikmvoc_62.wav	名詞				赤ちゃんの歩き始めが早いこと			ばんたが　みどぅんっゔぁー　むいとぅ　あいつびゃー　あたい（私たちの娘は、歩き始めるのがとても早かった）。																	
63	1	あいつんつ	ikmvoc_63.wav	名詞				いつも行き慣れた道			うまぬどぅ　ふくやまんかいぬ　あいつんつ（これが福山へ行くいつもの道だ）。																	
63	2	あいつんつ	ikmvoc_63.wav	名詞				目的地までの途中			どぅーや　ぶらんかいぬ　あいつんつん　ってぃーどぅー（私たちは保良に行く道の中間ぐらいに来ている）。	はいんかいぬ　あいつんつん　どぅすん　いじゃうたい（畑に行く途中で友達に会った）。																
64	1	あいでぃ	ikmvoc_64.wav	名詞		C		少しずつ大切に食べること、少しずつでもたくさんご飯が食べられるおかず、またその性質		かてぃー、かてぃ	むぬーぎゃー　あいでぃがまーひー　ふぁい（ご飯は（おかずと）すこしずつ合わせて食べなさい［＞少量のおかずを大切にして少しずつ食べろ］）。																	
64	2	あいでぃ	ikmvoc_64.wav	形容詞		C		食べでがある；少量でたくさんご飯が食べられる［おかずに使う］			っゔぁから　かうたい　わーや　やぐみ　あいでぃむぬ　あたい（あなたから買った豚はとても食べでがあった）。	やぐみ　あいでぃ　わー（見かけよりも多い豚肉）。	ういがどぅ　あいでぃかい（これがたくさんご飯が食べられる（おかずだ））。															
65		あいてぃー	ikmvoc_65.wav	感動詞			〘応答詞〙	〘応答詞〙そうなんだ、（語尾を上げて）そうなの			あいてぃー（そうなんだ）。	あいてぃーだ（そう言うことらしい）。	あいてぃーちゃ（そうだそうだよ）。															
66		あいてぃぬ　くとぅ	ikmvoc_66.wav	感動詞			〘応答詞〙	〘応答詞〙そういうことだ			あい、あいてぃぬ　くとぅだら（そう、そういうことなんだよ）。																	
67		あいてぃぬ　むぬ	ikmvoc_67.wav	感動詞			〘応答詞〙	〘応答詞〙そういうことだ			うりゃー　あいてぃぬ　むぬ（それは、そういうことなんだよ）。																	
